"Code";"Name";"total;total;total;2021;[person]";"total;total;economically active population;2021;[person]";"total;total;employed;2021;[person]";"total;total;unemployed;2021;[person]";"total;total;economically inactive persons;2021;[person]";"total;total;unidentified status on the labour market;2021;[person]";"total;total;activity rate;2021;[%]";"total;total;employment rate;2021;[%]";"total;total;unemployment rate;2021;[%]";"total;males;total;2021;[person]";"total;males;economically active population;2021;[person]";"total;males;employed;2021;[person]";"total;males;unemployed;2021;[person]";"total;males;economically inactive persons;2021;[person]";"total;males;unidentified status on the labour market;2021;[person]";"total;males;activity rate;2021;[%]";"total;males;employment rate;2021;[%]";"total;males;unemployment rate;2021;[%]";"total;females;total;2021;[person]";"total;females;economically active population;2021;[person]";"total;females;employed;2021;[person]";"total;females;unemployed;2021;[person]";"total;females;economically inactive persons;2021;[person]";"total;females;unidentified status on the labour market;2021;[person]";"total;females;activity rate;2021;[%]";"total;females;employment rate;2021;[%]";"total;females;unemployment rate;2021;[%]";
0806000;"Powiat strzelecko-drezdenecki";40162;21561;20463;1098;16408;2193;56.8;53.9;5.1;19721;12024;11412;612;6560;1137;64.7;61.4;5.1;20441;9537;9051;486;9848;1056;49.2;46.7;5.1;
0807000;"Powiat sulęciński";28548;15506;14890;616;10889;2153;58.7;56.4;4.0;14159;8560;8169;391;4441;1158;65.8;62.8;4.6;14389;6946;6721;225;6448;995;51.9;50.2;3.2;
0808000;"Powiat świebodziński";46040;25081;24261;820;17849;3110;58.4;56.5;3.3;22279;13742;13251;491;6994;1543;66.3;63.9;3.6;23761;11339;11010;329;10855;1567;51.1;49.6;2.9;
0809000;"Powiat zielonogórski";62802;34954;33651;1303;23905;3943;59.4;57.2;3.7;30754;19190;18500;690;9493;2071;66.9;64.5;3.6;32048;15764;15151;613;14412;1872;52.2;50.2;3.9;
0810000;"Powiat żagański";64534;32418;30799;1619;27018;5098;54.5;51.8;5.0;31124;17791;16944;847;10673;2660;62.5;59.5;4.8;33410;14627;13855;772;16345;2438;47.2;44.7;5.3;
0811000;"Powiat żarski";79249;40725;38559;2166;32268;6256;55.8;52.8;5.3;38099;22218;21011;1207;12716;3165;63.6;60.1;5.4;41150;18507;17548;959;19552;3091;48.6;46.1;5.2;
0812000;"Powiat wschowski";31666;16889;16170;719;12775;2002;56.9;54.5;4.3;15428;9448;9083;365;4946;1034;65.6;63.1;3.9;16238;7441;7087;354;7829;968;48.7;46.4;4.8;
0861000;"City with powiat status Gorzów Wielkopolski";102730;54180;52126;2054;38979;9571;58.2;56.0;3.8;47824;28129;27043;1086;14642;5053;65.8;63.2;3.9;54906;26051;25083;968;24337;4518;51.7;49.8;3.7;
0862000;"City with powiat status Zielona Góra";118911;66999;64787;2212;43487;8425;60.6;58.6;3.3;55418;34628;33428;1200;16558;4232;67.7;65.3;3.5;63493;32371;31359;1012;26929;4193;54.6;52.9;3.1;
1001000;"Powiat bełchatowski";91936;52165;50266;1899;36168;3603;59.1;56.9;3.6;44568;28201;27279;922;14406;1961;66.2;64.0;3.3;47368;23964;22987;977;21762;1642;52.4;50.3;4.1;
1002000;"Powiat kutnowski";80574;43296;41491;1805;34188;3090;55.9;53.5;4.2;38227;23494;22501;993;13009;1724;64.4;61.6;4.2;42347;19802;18990;812;21179;1366;48.3;46.3;4.1;
1003000;"Powiat łaski";41921;23887;22985;902;16518;1516;59.1;56.9;3.8;20173;12773;12222;551;6562;838;66.1;63.2;4.3;21748;11114;10763;351;9956;678;52.7;51.1;3.2;
1004000;"Powiat łęczycki";40959;23088;22348;740;16993;878;57.6;55.8;3.2;19731;12560;12113;447;6680;491;65.3;63.0;3.6;21228;10528;10235;293;10313;387;50.5;49.1;2.8;
1005000;"Powiat łowicki";64235;36919;35768;1151;25634;1682;59.0;57.2;3.1;30791;19846;19156;690;10043;902;66.4;64.1;3.5;33444;17073;16612;461;15591;780;52.3;50.9;2.7;
1006000;"Powiat łódzki wschodni";61623;36465;35304;1161;23376;1782;60.9;59.0;3.2;29293;19013;18335;678;9319;961;67.1;64.7;3.6;32330;17452;16969;483;14057;821;55.4;53.9;2.8;
1007000;"Powiat opoczyński";61384;34010;32594;1416;26007;1367;56.7;54.3;4.2;30204;18965;18180;785;10494;745;64.4;61.7;4.1;31180;15045;14414;631;15513;622;49.2;47.2;4.2;
1008000;"Powiat pabianicki";102368;57334;54916;2418;39903;5131;59.0;56.5;4.2;47561;29679;28315;1364;15091;2791;66.3;63.2;4.6;54807;27655;26601;1054;24812;2340;52.7;50.7;3.8;
1009000;"Powiat pajęczański";42116;23690;22730;960;17270;1156;57.8;55.5;4.1;20739;13344;12803;541;6775;620;66.3;63.6;4.1;21377;10346;9927;419;10495;536;49.6;47.6;4.0;
1010000;"Powiat piotrkowski";75631;42970;41558;1412;30585;2076;58.4;56.5;3.3;37046;23665;22833;832;12257;1124;65.9;63.6;3.5;38585;19305;18725;580;18328;952;51.3;49.8;3.0;
1011000;"Powiat poddębicki";33915;19522;18750;772;13667;726;58.8;56.5;4.0;16573;10756;10274;482;5399;418;66.6;63.6;4.5;17342;8766;8476;290;8268;308;51.5;49.8;3.3;
1012000;"Powiat radomszczański";93590;49939;47680;2259;39964;3687;55.5;53.0;4.5;45457;27664;26477;1187;15773;2020;63.7;61.0;4.3;48133;22275;21203;1072;24191;1667;47.9;45.6;4.8;
1013000;"Powiat rawski";39483;23525;22836;689;15030;928;61.0;59.2;2.9;19198;12747;12328;419;5923;528;68.3;66.0;3.3;20285;10778;10508;270;9107;400;54.2;52.8;2.5;
1014000;"Powiat sieradzki";96482;55886;53892;1994;37691;2905;59.7;57.6;3.6;46605;30284;29152;1132;14759;1562;67.2;64.7;3.7;49877;25602;24740;862;22932;1343;52.8;51.0;3.4;
1015000;"Powiat skierniewicki";31490;18673;18283;390;12321;496;60.2;59.0;2.1;15500;10195;9979;216;5022;283;67.0;65.6;2.1;15990;8478;8304;174;7299;213;53.7;52.6;2.1;
1016000;"Powiat tomaszowski";95670;51574;49328;2246;40469;3627;56.0;53.6;4.4;45200;27635;26296;1339;15611;1954;63.9;60.8;4.8;50470;23939;23032;907;24858;1673;49.1;47.2;3.8;
1017000;"Powiat wieluński";62749;35464;34353;1111;25119;2166;58.5;56.7;3.1;30400;19582;19006;576;9734;1084;66.8;64.8;2.9;32349;15882;15347;535;15385;1082;50.8;49.1;3.4;
1018000;"Powiat wieruszowski";35161;21282;20859;423;13021;858;62.0;60.8;2.0;17305;11865;11624;241;5000;440;70.4;68.9;2.0;17856;9417;9235;182;8021;418;54.0;53.0;1.9;
1019000;"Powiat zduńskowolski";54673;30130;28675;1455;22156;2387;57.6;54.8;4.8;26153;16179;15399;780;8642;1332;65.2;62.0;4.8;28520;13951;13276;675;13514;1055;50.8;48.3;4.8;
1020000;"Powiat zgierski";142094;81287;78076;3211;55081;5726;59.6;57.3;4.0;66917;42188;40388;1800;21524;3205;66.2;63.4;4.3;75177;39099;37688;1411;33557;2521;53.8;51.9;3.6;
1021000;"Powiat brzeziński";25695;14940;14333;607;10050;705;59.8;57.4;4.1;12284;7942;7553;389;3963;379;66.7;63.4;4.9;13411;6998;6780;218;6087;326;53.5;51.8;3.1;
1061000;"City with powiat status Łódź";587167;323965;308712;15253;230240;32962;58.5;55.7;4.7;262692;162042;153348;8694;83186;17464;66.1;62.5;5.4;324475;161923;155364;6559;147054;15498;52.4;50.3;4.1;
1062000;"City with powiat status Piotrków Trybunalski";59179;30932;29629;1303;25177;3070;55.1;52.8;4.2;27218;16018;15284;734;9469;1731;62.8;60.0;4.6;31961;14914;14345;569;15708;1339;48.7;46.8;3.8;
1063000;"City with powiat status Skierniewice";39182;22211;21479;732;15514;1457;58.9;56.9;3.3;18387;11488;11104;384;6059;840;65.5;63.3;3.3;20795;10723;10375;348;9455;617;53.1;51.4;3.2;
