"Code";"Name";"total;total;2021;[person]";"total;tertiary;2021;[person]";"total;secondary and post-secondary - total;2021;[person]";"total;basic vocational/sectoral;2021;[person]";"total;lower secondary, primary, primary not completed and without school education;2021;[person]";"males;total;2021;[person]";"males;tertiary;2021;[person]";"males;secondary and post-secondary - total;2021;[person]";"males;basic vocational/sectoral;2021;[person]";"males;lower secondary, primary, primary not completed and without school education;2021;[person]";"females;total;2021;[person]";"females;tertiary;2021;[person]";"females;secondary and post-secondary - total;2021;[person]";"females;basic vocational/sectoral;2021;[person]";"females;lower secondary, primary, primary not completed and without school education;2021;[person]";
1006000;"Powiat łódzki wschodni";35304;12602;13994;6192;2210;18335;5058;7645;3977;1470;16969;7544;6349;2215;740;
1007000;"Powiat opoczyński";32594;8910;13577;7675;2321;18180;3266;7950;5280;1609;14414;5644;5627;2395;712;
1008000;"Powiat pabianicki";54916;19241;21600;9451;3923;28315;7599;11687;6033;2569;26601;11642;9913;3418;1354;
1009000;"Powiat pajęczański";22730;5562;8045;7140;1868;12803;2029;4470;5018;1206;9927;3533;3575;2122;662;
1010000;"Powiat piotrkowski";41558;10521;17817;9620;3284;22833;3731;9960;6640;2282;18725;6790;7857;2980;1002;
1011000;"Powiat poddębicki";18750;4481;7248;5029;1830;10274;1601;3994;3288;1282;8476;2880;3254;1741;548;
1012000;"Powiat radomszczański";47680;13123;18820;11961;3453;26477;4837;10536;8505;2374;21203;8286;8284;3456;1079;
1013000;"Powiat rawski";22836;5951;9336;5780;1545;12328;2158;5075;3878;1077;10508;3793;4261;1902;468;
1014000;"Powiat sieradzki";53892;14779;20555;14112;4110;29152;5405;11117;9528;2873;24740;9374;9438;4584;1237;
1015000;"Powiat skierniewicki";18283;4905;7431;4814;1037;9979;1778;4148;3254;735;8304;3127;3283;1560;302;
1016000;"Powiat tomaszowski";49328;14274;20369;11102;3037;26296;5302;11276;7260;2103;23032;8972;9093;3842;934;
1017000;"Powiat wieluński";34353;8907;12243;11229;1727;19006;3294;6612;7759;1178;15347;5613;5631;3470;549;
1018000;"Powiat wieruszowski";20859;4574;7484;7277;1444;11624;1600;3932;5003;1032;9235;2974;3552;2274;412;
1019000;"Powiat zduńskowolski";28675;8129;11925;6284;2056;15399;3067;6435;4234;1470;13276;5062;5490;2050;586;
1020000;"Powiat zgierski";78076;26747;30936;14219;5161;40388;10532;16519;9255;3447;37688;16215;14417;4964;1714;
1021000;"Powiat brzeziński";14333;3958;5971;3315;974;7553;1477;3283;2066;662;6780;2481;2688;1249;312;
1061000;"City with powiat status Łódź";308712;137174;110617;38367;17839;153348;56677;58468;24293;10999;155364;80497;52149;14074;6840;
1062000;"City with powiat status Piotrków Trybunalski";29629;11435;12447;4036;1441;15284;4545;6874;2773;917;14345;6890;5573;1263;524;
1063000;"City with powiat status Skierniewice";21479;9357;8059;2997;835;11104;3785;4525;2058;572;10375;5572;3534;939;263;
1201000;"Powiat bocheński";50188;14017;20494;13223;2100;27138;5132;11342;9063;1368;23050;8885;9152;4160;732;
1202000;"Powiat brzeski";42636;10299;16177;13834;1987;23516;3775;8416;9765;1316;19120;6524;7761;4069;671;
1203000;"Powiat chrzanowski";51197;16697;21412;10034;2495;27207;6501;11884;6854;1598;23990;10196;9528;3180;897;
1204000;"Powiat dąbrowski";24395;5512;9493;7431;1781;13562;2041;5030;5147;1232;10833;3471;4463;2284;549;
1205000;"Powiat gorlicki";45629;11416;18253;13134;2521;25530;4512;9780;9314;1717;20099;6904;8473;3820;804;
1206000;"Powiat krakowski";145209;53854;52096;31711;6303;76272;22197;28157;20977;4134;68937;31657;23939;10734;2169;
1207000;"Powiat limanowski";60226;14266;21728;19469;4348;33426;4852;11306;14015;2990;26800;9414;10422;5454;1358;
1208000;"Powiat miechowski";21805;6125;9959;4653;936;11797;2281;5573;3228;628;10008;3844;4386;1425;308;
1209000;"Powiat myślenicki";62964;17490;23121;18679;3262;33828;6197;12404;12777;2174;29136;11293;10717;5902;1088;
1210000;"Powiat nowosądecki";95932;23471;37314;29034;5395;53644;8720;19946;20783;3730;42288;14751;17368;8251;1665;
1211000;"Powiat nowotarski";82713;18634;26704;25511;11064;44529;6642;13294;16753;7337;38184;11992;13410;8758;3727;
1212000;"Powiat olkuski";48147;17166;20517;8341;1715;25597;6846;11579;5822;1084;22550;10320;8938;2519;631;
1213000;"Powiat oświęcimski";66163;20421;27003;15529;2636;35304;8001;14752;10437;1741;30859;12420;12251;5092;895;
1214000;"Powiat proszowicki";20557;4371;8361;6212;1459;11163;1516;4378;4184;984;9394;2855;3983;2028;475;
1215000;"Powiat suski";38218;9067;14416;11621;2901;20811;3235;7382;8059;1996;17407;5832;7034;3562;905;
1216000;"Powiat tarnowski";89141;21716;33540;28760;4442;49518;8165;17965;19964;2981;39623;13551;15575;8796;1461;
1217000;"Powiat tatrzański";28750;7350;9889;7230;3959;14795;2886;4774;4533;2436;13955;4464;5115;2697;1523;
1218000;"Powiat wadowicki";73013;18249;27690;22532;4004;39579;6816;14609;15068;2741;33434;11433;13081;7464;1263;
1219000;"Powiat wielicki";68536;25735;24301;14892;2932;36010;10473;13230;9939;1941;32526;15262;11071;4953;991;
1261000;"City with powiat status Kraków";407738;238999;116658;37016;10227;202605;104547;64728;24111;6281;205133;134452;51930;12905;3946;
1262000;"City with powiat status Nowy Sącz";34599;14031;13618;5717;869;18241;5834;7528;4102;559;16358;8197;6090;1615;310;
1263000;"City with powiat status Tarnów";43474;18137;16247;7156;1500;23031;7752;9114;4870;1009;20443;10385;7133;2286;491;
1401000;"Powiat białobrzeski";15870;3549;5668;4840;1668;8794;1304;3045;3163;1196;7076;2245;2623;1677;472;
1402000;"Powiat ciechanowski";39878;13310;14907;8914;2388;21820;5339;8316;6235;1698;18058;7971;6591;2679;690;
1403000;"Powiat garwoliński";50491;13763;20753;13130;2496;27428;4778;11596;8915;1899;23063;8985;9157;4215;597;
1404000;"Powiat gostyniński";18592;5186;7693;4217;1354;10142;1811;4299;3024;912;8450;3375;3394;1193;442;
1405000;"Powiat grodziski";49804;22410;17757;6725;2257;25420;9261;9874;4427;1452;24384;13149;7883;2298;805;
1406000;"Powiat grójecki";49208;13862;20327;11329;3123;26340;5358;10948;7516;2156;22868;8504;9379;3813;967;
1407000;"Powiat kozienicki";25539;7664;9559;6353;1754;14144;2968;5493;4317;1220;11395;4696;4066;2036;534;
1408000;"Powiat legionowski";62390;29308;23009;6977;2415;31906;12255;12997;4654;1574;30484;17053;10012;2323;841;
1409000;"Powiat lipski";13891;3754;5513;3700;845;7750;1373;3194;2526;605;6141;2381;2319;1174;240;
1410000;"Powiat łosicki";13388;3643;5503;3125;1038;7474;1372;3103;2183;769;5914;2271;2400;942;269;
1411000;"Powiat makowski";18562;5041;7972;4245;1152;10325;1878;4482;3053;809;8237;3163;3490;1192;343;
1412000;"Powiat miński";76687;27984;29787;14765;3448;40206;10576;16616;10154;2407;36481;17408;13171;4611;1041;
1413000;"Powiat mławski";31962;8121;12784;8484;2216;17736;3210;6901;5935;1448;14226;4911;5883;2549;768;
1414000;"Powiat nowodworski";39036;12424;15912;7687;2592;20638;4776;8765;5171;1674;18398;7648;7147;2516;918;
1415000;"Powiat ostrołęcki";39391;10079;15070;9721;4153;22408;3740;8576;6885;2964;16983;6339;6494;2836;1189;
1416000;"Powiat ostrowski";31585;8283;12930;7925;2231;17369;2981;7099;5582;1572;14216;5302;5831;2343;659;
1417000;"Powiat otwocki";60681;24315;23204;9775;2654;31186;9434;12937;6535;1824;29495;14881;10267;3240;830;
1418000;"Powiat piaseczyński";104807;52974;35255;11079;4143;52979;22418;19754;7337;2668;51828;30556;15501;3742;1475;
1419000;"Powiat płocki";50351;14186;18814;13223;3725;28476;5542;10701;9361;2597;21875;8644;8113;3862;1128;
1420000;"Powiat płoński";39565;10357;14974;10100;3789;21694;3864;8211;6781;2598;17871;6493;6763;3319;1191;
1421000;"Powiat pruszkowski";88119;43670;31019;8900;3403;44572;18332;17388;5987;2190;43547;25338;13631;2913;1213;
1422000;"Powiat przasnyski";22046;6028;8836;5030;1998;12416;2303;5028;3540;1451;9630;3725;3808;1490;547;
1423000;"Powiat przysuski";16897;4397;6354;4668;1373;9458;1568;3683;3146;996;7439;2829;2671;1522;377;
1424000;"Powiat pułtuski";23209;6867;8972;5622;1572;12443;2511;4958;3739;1128;10766;4356;4014;1883;444;
1425000;"Powiat radomski";64590;19843;23690;15358;5118;35725;7693;13470;10400;3774;28865;12150;10220;4958;1344;
1426000;"Powiat siedlecki";37993;10340;14613;10176;2490;21067;3736;8151;7072;1857;16926;6604;6462;3104;633;
1427000;"Powiat sierpecki";21312;5586;8311;5632;1604;12142;2123;4788;3987;1121;9170;3463;3523;1645;483;
1428000;"Powiat sochaczewski";40650;12426;16913;8591;2428;21622;4717;9303;5772;1643;19028;7709;7610;2819;785;
1429000;"Powiat sokołowski";23923;6761;9123;6551;1276;13183;2530;5058;4558;899;10740;4231;4065;1993;377;
1430000;"Powiat szydłowiecki";14925;4304;5617;3921;981;8384;1534;3247;2804;737;6541;2770;2370;1117;244;
1432000;"Powiat warszawski zachodni";65508;31604;22829;7746;2690;33681;13609;12746;5185;1744;31827;17995;10083;2561;946;
1433000;"Powiat węgrowski";29176;6875;11900;8035;2075;16141;2313;6666;5475;1487;13035;4562;5234;2560;588;
1434000;"Powiat wołomiński";133487;54017;51695;19823;6352;68161;20623;29080;13130;4335;65326;33394;22615;6693;2017;
1435000;"Powiat wyszkowski";35025;9950;13517;8706;2549;19037;3526;7397;6014;1913;15988;6424;6120;2692;636;
1436000;"Powiat zwoleński";15249;3889;5703;4125;1418;8472;1456;3134;2787;1018;6777;2433;2569;1338;400;
1437000;"Powiat żuromiński";16114;3838;5888;4651;1611;9048;1431;3237;3211;1081;7066;2407;2651;1440;530;
1438000;"Powiat żyrardowski";35447;11806;14094;6733;2379;18230;4385;7570;4384;1621;17217;7421;6524;2349;758;
1461000;"City with powiat status Ostrołęka";20445;8845;7856;2679;860;10724;3465;4522;1990;609;9721;5380;3334;689;251;
1462000;"City with powiat status Płock";49657;21039;18584;7418;2015;26044;8607;10568;5153;1323;23613;12432;8016;2265;692;
1463000;"City with powiat status Radom";83148;37176;29111;11936;3938;43717;15622;16397;8232;2825;39431;21554;12714;3704;1113;
1464000;"City with powiat status Siedlce";34800;16976;12043;4368;1026;17911;6837;6957;3154;715;16889;10139;5086;1214;311;
1465000;"City with powiat status Capital City Warszawa";965329;605800;265638;56226;25134;469166;261265;148664;36364;15635;496163;344535;116974;19862;9499;
1601000;"Powiat brzeski";38639;10879;16520;8465;2318;21126;4344;8901;6019;1548;17513;6535;7619;2446;770;
1602000;"Powiat głubczycki";17793;4401;7071;4820;1325;10027;1683;3797;3526;899;7766;2718;3274;1294;426;
1603000;"Powiat kędzierzyńsko-kozielski";37463;10742;14350;9902;2141;20582;4312;7710;6980;1367;16881;6430;6640;2922;774;
1604000;"Powiat kluczborski";27187;6839;10636;7589;1897;15297;2686;5857;5367;1232;11890;4153;4779;2222;665;
1605000;"Powiat krapkowicki";26272;6875;8777;8581;1804;14688;2679;4725;5990;1151;11584;4196;4052;2591;653;
1606000;"Powiat namysłowski";18941;4800;7690;4996;1262;10498;1893;4143;3484;845;8443;2907;3547;1512;417;
1607000;"Powiat nyski";54463;15075;21715;13882;3196;30007;5853;11755;9953;2062;24456;9222;9960;3929;1134;
1608000;"Powiat oleski";27497;6691;10052;9137;1455;15275;2623;5368;6208;964;12222;4068;4684;2929;491;
1609000;"Powiat opolski";54311;15864;18499;16689;2866;29790;6142;10024;11528;1844;24521;9722;8475;5161;1022;
