"Code";"Name";"total;total;2021;[person]";"total;15-24;2021;[person]";"total;25-34;2021;[person]";"total;35-44;2021;[person]";"total;45-54;2021;[person]";"total;55-64;2021;[person]";"total;65 and more;2021;[person]";"males;total;2021;[person]";"males;15-24;2021;[person]";"males;25-34;2021;[person]";"males;35-44;2021;[person]";"males;45-54;2021;[person]";"males;55-64;2021;[person]";"males;65 and more;2021;[person]";"females;total;2021;[person]";"females;15-24;2021;[person]";"females;25-34;2021;[person]";"females;35-44;2021;[person]";"females;45-54;2021;[person]";"females;55-64;2021;[person]";"females;65 and more;2021;[person]";
1061000;"City with powiat status Łódź";308712;18040;71967;85605;64369;49670;19061;153348;9201;35832;42955;30448;25106;9806;155364;8839;36135;42650;33921;24564;9255;
1062000;"City with powiat status Piotrków Trybunalski";29629;1962;5918;8569;7024;4856;1300;15284;1055;3155;4406;3406;2536;726;14345;907;2763;4163;3618;2320;574;
1063000;"City with powiat status Skierniewice";21479;1130;4574;6166;4766;3822;1021;11104;612;2378;3141;2360;2023;590;10375;518;2196;3025;2406;1799;431;
1201000;"Powiat bocheński";50188;4508;12199;13813;11064;7178;1426;27138;2596;6605;7319;5558;4221;839;23050;1912;5594;6494;5506;2957;587;
1202000;"Powiat brzeski";42636;3908;10284;11112;9782;6348;1202;23516;2380;5768;5930;5026;3782;630;19120;1528;4516;5182;4756;2566;572;
1203000;"Powiat chrzanowski";51197;3536;11327;15454;11631;7826;1423;27207;1970;6153;8296;5767;4188;833;23990;1566;5174;7158;5864;3638;590;
1204000;"Powiat dąbrowski";24395;2346;5772;6335;5627;3725;590;13562;1405;3223;3429;2941;2229;335;10833;941;2549;2906;2686;1496;255;
1205000;"Powiat gorlicki";45629;3652;10612;12253;10688;7216;1208;25530;2174;6065;6690;5631;4317;653;20099;1478;4547;5563;5057;2899;555;
1206000;"Powiat krakowski";145209;10464;31622;43763;33936;20718;4706;76272;5866;16288;22523;17172;11550;2873;68937;4598;15334;21240;16764;9168;1833;
1207000;"Powiat limanowski";60226;6734;15087;15241;13285;8460;1419;33426;4021;8348;8175;6959;5112;811;26800;2713;6739;7066;6326;3348;608;
1208000;"Powiat miechowski";21805;1662;5045;6146;4985;3253;714;11797;956;2737;3265;2581;1854;404;10008;706;2308;2881;2404;1399;310;
1209000;"Powiat myślenicki";62964;5994;15491;17171;13512;8895;1901;33828;3396;8241;9060;6876;5197;1058;29136;2598;7250;8111;6636;3698;843;
1210000;"Powiat nowosądecki";95932;10048;23852;24416;21991;13578;2047;53644;6099;13490;13168;11509;8155;1223;42288;3949;10362;11248;10482;5423;824;
1211000;"Powiat nowotarski";82713;8915;19814;20761;18591;12021;2611;44529;5181;10666;10943;9357;6919;1463;38184;3734;9148;9818;9234;5102;1148;
1212000;"Powiat olkuski";48147;3328;10521;14070;11280;7389;1559;25597;1886;5675;7428;5513;4137;958;22550;1442;4846;6642;5767;3252;601;
1213000;"Powiat oświęcimski";66163;5205;15546;18958;15144;9549;1761;35304;2910;8523;10157;7345;5274;1095;30859;2295;7023;8801;7799;4275;666;
1214000;"Powiat proszowicki";20557;1954;4820;5611;4694;2888;590;11163;1128;2635;2916;2399;1733;352;9394;826;2185;2695;2295;1155;238;
1215000;"Powiat suski";38218;3673;9257;10231;8578;5337;1142;20811;2136;5129;5486;4364;3111;585;17407;1537;4128;4745;4214;2226;557;
1216000;"Powiat tarnowski";89141;7951;20964;23521;21278;13376;2051;49518;4801;11716;12555;11023;8189;1234;39623;3150;9248;10966;10255;5187;817;
1217000;"Powiat tatrzański";28750;2713;6643;7181;5999;4623;1591;14795;1476;3457;3696;2914;2458;794;13955;1237;3186;3485;3085;2165;797;
1218000;"Powiat wadowicki";73013;6770;17180;20294;16699;10066;2004;39579;3928;9501;10895;8454;5681;1120;33434;2842;7679;9399;8245;4385;884;
1219000;"Powiat wielicki";68536;5142;15997;21364;15040;8927;2066;36010;2889;8212;11157;7562;4977;1213;32526;2253;7785;10207;7478;3950;853;
