,code,powiat,year,sex,education,count
355,3061000,City with powiat status Kalisz,2021,total,total,41615
356,3062000,City with powiat status Konin,2021,total,total,28400
357,3063000,City with powiat status Leszno,2021,total,total,28377
358,3064000,City with powiat status Poznań,2021,total,total,279792
359,3201000,Powiat białogardzki,2021,total,total,18093
360,3202000,Powiat choszczeński,2021,total,total,18073
361,3203000,Powiat drawski,2021,total,total,21781
362,3204000,Powiat goleniowski,2021,total,total,36071
363,3205000,Powiat gryficki,2021,total,total,23220
364,3206000,Powiat gryfiński,2021,total,total,33512
365,3207000,Powiat kamieński,2021,total,total,17970
366,3208000,Powiat kołobrzeski,2021,total,total,33742
367,3209000,Powiat koszaliński,2021,total,total,28917
368,3210000,Powiat myśliborski,2021,total,total,26088
369,3211000,Powiat policki,2021,total,total,39544
370,3212000,Powiat pyrzycki,2021,total,total,15820
371,3213000,Powiat sławieński,2021,total,total,22238
372,3214000,Powiat stargardzki,2021,total,total,50914
373,3215000,Powiat szczecinecki,2021,total,total,28756
374,3216000,Powiat świdwiński,2021,total,total,16898
375,3217000,Powiat wałecki,2021,total,total,21486
376,3218000,Powiat łobeski,2021,total,total,13463
377,3261000,City with powiat status Koszalin,2021,total,total,46160
378,3262000,City with powiat status Szczecin,2021,total,total,179608
379,3263000,City with powiat status Świnoujście,2021,total,total,16905
380,201000,Powiat bolesławiecki,2021,total,tertiary,9881
381,202000,Powiat dzierżoniowski,2021,total,tertiary,10204
382,203000,Powiat głogowski,2021,total,tertiary,11926
383,204000,Powiat górowski,2021,total,tertiary,2875
384,205000,Powiat jaworski,2021,total,tertiary,5344
385,206000,Powiat karkonoski,2021,total,tertiary,7568
386,207000,Powiat kamiennogórski,2021,total,tertiary,4077
387,208000,Powiat kłodzki,2021,total,tertiary,16041
388,209000,Powiat legnicki,2021,total,tertiary,6672
389,210000,Powiat lubański,2021,total,tertiary,5452
390,211000,Powiat lubiński,2021,total,tertiary,15625
391,212000,Powiat lwówecki,2021,total,tertiary,4240
392,213000,Powiat milicki,2021,total,tertiary,3543
393,214000,Powiat oleśnicki,2021,total,tertiary,13569
394,215000,Powiat oławski,2021,total,tertiary,11312
395,216000,Powiat polkowicki,2021,total,tertiary,6954
396,217000,Powiat strzeliński,2021,total,tertiary,4827
397,218000,Powiat średzki,2021,total,tertiary,8439
398,219000,Powiat świdnicki,2021,total,tertiary,20385
399,220000,Powiat trzebnicki,2021,total,tertiary,12737
400,221000,Powiat wałbrzyski,2021,total,tertiary,5821
401,222000,Powiat wołowski,2021,total,tertiary,5815
402,223000,Powiat wrocławski,2021,total,tertiary,43297
403,224000,Powiat ząbkowicki,2021,total,tertiary,6302
404,225000,Powiat zgorzelecki,2021,total,tertiary,9352
405,226000,Powiat złotoryjski,2021,total,tertiary,4325
406,261000,City with powiat status Jelenia Góra,2021,total,tertiary,12047
407,262000,City with powiat status Legnica,2021,total,tertiary,15167
408,264000,City with powiat status Wrocław,2021,total,tertiary,195319
409,265000,City with powiat status Wałbrzych since 2013,2021,total,tertiary,12429
410,401000,Powiat aleksandrowski,2021,total,tertiary,5932
411,402000,Powiat brodnicki,2021,total,tertiary,8101
412,403000,Powiat bydgoski,2021,total,tertiary,21747
413,404000,Powiat chełmiński,2021,total,tertiary,4555
414,405000,Powiat golubsko-dobrzyński,2021,total,tertiary,4123
415,406000,Powiat grudziądzki,2021,total,tertiary,3578
416,407000,Powiat inowrocławski,2021,total,tertiary,16766
417,408000,Powiat lipnowski,2021,total,tertiary,5721
418,409000,Powiat mogileński,2021,total,tertiary,4337
419,410000,Powiat nakielski,2021,total,tertiary,8421
420,411000,Powiat radziejowski,2021,total,tertiary,3892
421,412000,Powiat rypiński,2021,total,tertiary,3852
422,413000,Powiat sępoleński,2021,total,tertiary,3316
423,414000,Powiat świecki,2021,total,tertiary,9108
424,415000,Powiat toruński,2021,total,tertiary,14739
425,416000,Powiat tucholski,2021,total,tertiary,4321
426,417000,Powiat wąbrzeski,2021,total,tertiary,2866
427,418000,Powiat włocławski,2021,total,tertiary,8558
428,419000,Powiat żniński,2021,total,tertiary,6781
429,461000,City with powiat status Bydgoszcz,2021,total,tertiary,64115
430,462000,City with powiat status Grudziądz,2021,total,tertiary,10276
431,463000,City with powiat status Toruń,2021,total,tertiary,39416
432,464000,City with powiat status Włocławek,2021,total,tertiary,14497
433,601000,Powiat bialski,2021,total,tertiary,13163
434,602000,Powiat biłgorajski,2021,total,tertiary,12393
435,603000,Powiat chełmski,2021,total,tertiary,7578
436,604000,Powiat hrubieszowski,2021,total,tertiary,6140
437,605000,Powiat janowski,2021,total,tertiary,5199
438,606000,Powiat krasnostawski,2021,total,tertiary,6861
439,607000,Powiat kraśnicki,2021,total,tertiary,10590
440,608000,Powiat lubartowski,2021,total,tertiary,10643
441,609000,Powiat lubelski,2021,total,tertiary,28298
442,610000,Powiat łęczyński,2021,total,tertiary,7380
443,611000,Powiat łukowski,2021,total,tertiary,11988
444,612000,Powiat opolski,2021,total,tertiary,6070
445,613000,Powiat parczewski,2021,total,tertiary,3861
446,614000,Powiat puławski,2021,total,tertiary,16726
447,615000,Powiat radzyński,2021,total,tertiary,6278
448,616000,Powiat rycki,2021,total,tertiary,6852
449,617000,Powiat świdnicki,2021,total,tertiary,11704
450,618000,Powiat tomaszowski,2021,total,tertiary,9102
451,619000,Powiat włodawski,2021,total,tertiary,4221
452,620000,Powiat zamojski,2021,total,tertiary,11871
453,661000,City with powiat status Biała Podlaska,2021,total,tertiary,10757
454,662000,City with powiat status Chełm,2021,total,tertiary,10418
455,663000,City with powiat status Lublin,2021,total,tertiary,84747
456,664000,City with powiat status Zamość,2021,total,tertiary,10883
457,801000,Powiat gorzowski,2021,total,tertiary,9869
458,802000,Powiat krośnieński,2021,total,tertiary,5125
459,803000,Powiat międzyrzecki,2021,total,tertiary,6124
460,804000,Powiat nowosolski,2021,total,tertiary,8535
461,805000,Powiat słubicki,2021,total,tertiary,5146
462,806000,Powiat strzelecko-drezdenecki,2021,total,tertiary,4504
463,807000,Powiat sulęciński,2021,total,tertiary,3412
464,808000,Powiat świebodziński,2021,total,tertiary,6121
465,809000,Powiat zielonogórski,2021,total,tertiary,9221
466,810000,Powiat żagański,2021,total,tertiary,7514
467,811000,Powiat żarski,2021,total,tertiary,9226
468,812000,Powiat wschowski,2021,total,tertiary,3487
469,861000,City with powiat status Gorzów Wielkopolski,2021,total,tertiary,19101
470,862000,City with powiat status Zielona Góra,2021,total,tertiary,30385
471,1001000,Powiat bełchatowski,2021,total,tertiary,16431
472,1002000,Powiat kutnowski,2021,total,tertiary,11464
473,1003000,Powiat łaski,2021,total,tertiary,6360
