,code,powiat,year,sex,education,count
406,261000,City with powiat status Jelenia Góra,2021,total,tertiary,17735
407,262000,City with powiat status Legnica,2021,total,tertiary,20807
408,264000,City with powiat status Wrocław,2021,total,tertiary,247094
409,265000,City with powiat status Wałbrzych since 2013,2021,total,tertiary,18328
410,401000,Powiat aleksandrowski,2021,total,tertiary,8101
411,402000,Powiat brodnicki,2021,total,tertiary,10440
412,403000,Powiat bydgoski,2021,total,tertiary,26519
413,404000,Powiat chełmiński,2021,total,tertiary,6165
414,405000,Powiat golubsko-dobrzyński,2021,total,tertiary,5202
415,406000,Powiat grudziądzki,2021,total,tertiary,4552
416,407000,Powiat inowrocławski,2021,total,tertiary,22430
417,408000,Powiat lipnowski,2021,total,tertiary,7516
418,409000,Powiat mogileński,2021,total,tertiary,5683
419,410000,Powiat nakielski,2021,total,tertiary,10867
420,411000,Powiat radziejowski,2021,total,tertiary,4942
421,412000,Powiat rypiński,2021,total,tertiary,4944
422,413000,Powiat sępoleński,2021,total,tertiary,4453
423,414000,Powiat świecki,2021,total,tertiary,11992
424,415000,Powiat toruński,2021,total,tertiary,18311
425,416000,Powiat tucholski,2021,total,tertiary,5628
426,417000,Powiat wąbrzeski,2021,total,tertiary,3834
427,418000,Powiat włocławski,2021,total,tertiary,10897
428,419000,Powiat żniński,2021,total,tertiary,8783
429,461000,City with powiat status Bydgoszcz,2021,total,tertiary,86628
430,462000,City with powiat status Grudziądz,2021,total,tertiary,14605
431,463000,City with powiat status Toruń,2021,total,tertiary,52847
432,464000,City with powiat status Włocławek,2021,total,tertiary,20232
433,601000,Powiat bialski,2021,total,tertiary,17063
434,602000,Powiat biłgorajski,2021,total,tertiary,16573
435,603000,Powiat chełmski,2021,total,tertiary,10110
436,604000,Powiat hrubieszowski,2021,total,tertiary,8472
437,605000,Powiat janowski,2021,total,tertiary,6981
438,606000,Powiat krasnostawski,2021,total,tertiary,9502
439,607000,Powiat kraśnicki,2021,total,tertiary,14513
440,608000,Powiat lubartowski,2021,total,tertiary,13714
441,609000,Powiat lubelski,2021,total,tertiary,34443
442,610000,Powiat łęczyński,2021,total,tertiary,9405
