,code,powiat,type,year,value
209,1818000,Powiat stalowowolski,grand total,2002,1947.06
210,1819000,Powiat strzyżowski,grand total,2002,1641.26
211,1820000,Powiat tarnobrzeski,grand total,2002,1929.52
212,1821000,Powiat leski,grand total,2002,1868.64
213,1861000,City with powiat status Krosno,grand total,2002,1826.48
214,1862000,City with powiat status Przemyśl,grand total,2002,1882.89
215,1863000,City with powiat status Rzeszów,grand total,2002,2102.03
216,1864000,City with powiat status Tarnobrzeg,grand total,2002,1860.38
217,2001000,Powiat augustowski,grand total,2002,2349.22
218,2002000,Powiat białostocki,grand total,2002,1708.4
219,2003000,Powiat bielski,grand total,2002,1785.87
220,2004000,Powiat grajewski,grand total,2002,2079.11
221,2005000,Powiat hajnowski,grand total,2002,1689.69
222,2006000,Powiat kolneński,grand total,2002,1742.78
223,2007000,Powiat łomżyński,grand total,2002,1881.91
224,2008000,Powiat moniecki,grand total,2002,1784.58
225,2009000,Powiat sejneński,grand total,2002,1778.57
226,2010000,Powiat siemiatycki,grand total,2002,1778.46
227,2011000,Powiat sokólski,grand total,2002,1769.61
228,2012000,Powiat suwalski,grand total,2002,1771.43
229,2013000,Powiat wysokomazowiecki,grand total,2002,1806.9
230,2014000,Powiat zambrowski,grand total,2002,1742.3
231,2061000,City with powiat status Białystok,grand total,2002,2087.45
232,2062000,City with powiat status Łomża,grand total,2002,1895.81
233,2063000,City with powiat status Suwałki,grand total,2002,1908.06
234,2201000,Powiat bytowski,grand total,2002,1699.35
235,2202000,Powiat chojnicki,grand total,2002,1689.15
236,2203000,Powiat człuchowski,grand total,2002,1749.69
237,2204000,Powiat gdański,grand total,2002,1916.3
238,2205000,Powiat kartuski,grand total,2002,1752.12
239,2206000,Powiat kościerski,grand total,2002,1810.53
240,2207000,Powiat kwidzyński,grand total,2002,2223.92
241,2208000,Powiat lęborski,grand total,2002,1779.6
242,2209000,Powiat malborski,grand total,2002,1895.74
243,2210000,Powiat nowodworski,grand total,2002,1782.7
244,2211000,Powiat pucki,grand total,2002,1889.24
245,2212000,Powiat słupski,grand total,2002,1662.73
