county_code,county_name,ukr_citizens,total_ukr,ukr_citizens_share
1817,Powiat sanocki,83,53048,0.0015646207208565826
1818,Powiat stalowowolski,56,53048,0.0010556477152767305
1819,Powiat strzyżowski,9,53048,0.0001696576685266174
1820,Powiat tarnobrzeski,22,53048,0.00041471874528728697
1821,Powiat leski,17,53048,0.00032046448499472175
1861,Powiat m. Krosno,22,53048,0.00041471874528728697
1862,Powiat m. Przemyśl,231,53048,0.004354546825516514
1863,Powiat m. Rzeszów,585,53048,0.011027748454230131
1864,Powiat m. Tarnobrzeg,26,53048,0.0004901221535213391
2001,Powiat augustowski,17,53048,0.00032046448499472175
2002,Powiat białostocki,35,53048,0.0006597798220479566
2003,Powiat bielski,45,53048,0.000848288342633087
2004,Powiat grajewski,5,53048,9.425426029256522e-05
2005,Powiat hajnowski,43,53048,0.000810586638516061
2006,Powiat kolneński,3,53048,5.655255617553913e-05
2007,Powiat łomżyński,8,53048,0.00015080681646810435
2008,Powiat moniecki,6,53048,0.00011310511235107827
2009,Powiat sejneński,0,53048,0.0
2010,Powiat siemiatycki,20,53048,0.0003770170411702609
2011,Powiat sokólski,7,53048,0.0001319559644095913
2012,Powiat suwalski,6,53048,0.00011310511235107827
2013,Powiat wysokomazowiecki,26,53048,0.0004901221535213391
2014,Powiat zambrowski,35,53048,0.0006597798220479566
2061,Powiat m. Białystok,172,53048,0.003242346554064244
2062,Powiat m. Łomża,14,53048,0.0002639119288191826
2063,Powiat m. Suwałki,19,53048,0.00035816618911174784
2201,Powiat bytowski,130,53048,0.002450610767606696
2202,Powiat chojnicki,43,53048,0.000810586638516061
2203,Powiat człuchowski,55,53048,0.0010367968632182174
2204,Powiat gdański,264,53048,0.004976624943447444
2205,Powiat kartuski,155,53048,0.002921882069069522
2206,Powiat kościerski,30,53048,0.0005655255617553913
2207,Powiat kwidzyński,52,53048,0.0009802443070426783
2208,Powiat lęborski,29,53048,0.0005466747096968783
2209,Powiat malborski,29,53048,0.0005466747096968783
2210,Powiat nowodworski,17,53048,0.00032046448499472175
2211,Powiat pucki,61,53048,0.0011499019755692958
2212,Powiat słupski,106,53048,0.001998190318202383
2213,Powiat starogardzki,50,53048,0.0009425426029256522
2214,Powiat tczewski,41,53048,0.0007728849343990349
2215,Powiat wejherowski,146,53048,0.0027522244005429046
2216,Powiat sztumski,12,53048,0.00022621022470215653
2261,Powiat m. Gdańsk,1107,53048,0.02086789322877394
2262,Powiat m. Gdynia,321,53048,0.006051123510782687
2263,Powiat m. Słupsk,173,53048,0.003261197406122757
2264,Powiat m. Sopot,55,53048,0.0010367968632182174
2401,Powiat będziński,116,53048,0.0021866988387875133
2402,Powiat bielski,113,53048,0.002130146282611974
2403,Powiat cieszyński,164,53048,0.0030915397375961395
2404,Powiat częstochowski,45,53048,0.000848288342633087
2405,Powiat gliwicki,50,53048,0.0009425426029256522
2406,Powiat kłobucki,58,53048,0.0010933494193937567
2407,Powiat lubliniecki,31,53048,0.0005843764138139044
2408,Powiat mikołowski,109,53048,0.002054742874377922
2409,Powiat myszkowski,19,53048,0.00035816618911174784
2410,Powiat pszczyński,76,53048,0.0014326647564469914
2411,Powiat raciborski,81,53048,0.0015269190167395566
2412,Powiat rybnicki,21,53048,0.00039586789322877393
2413,Powiat tarnogórski,49,53048,0.0009236917508671392
2414,Powiat bieruńsko-lędziński,25,53048,0.0004712713014628261
2415,Powiat wodzisławski,59,53048,0.0011122002714522696
2416,Powiat zawierciański,42,53048,0.0007917357864575479
2417,Powiat żywiecki,76,53048,0.0014326647564469914
2461,Powiat m. Bielsko-Biała,266,53048,0.00501432664756447
2462,Powiat m. Bytom,116,53048,0.0021866988387875133
2463,Powiat m. Chorzów,95,53048,0.0017908309455587394
