county_code,county_name,ukr_birthplace,total_ukr,ukr_birthplace_share
2213,Powiat starogardzki,132,176174,0.0007492592550546619
2214,Powiat tczewski,150,176174,0.0008514309716530249
2215,Powiat wejherowski,395,176174,0.002242101558686299
2216,Powiat sztumski,75,176174,0.00042571548582651244
2261,Powiat m. Gdańsk,2871,176174,0.016296388797438895
2262,Powiat m. Gdynia,1089,176174,0.00618138885420096
2263,Powiat m. Słupsk,565,176174,0.00320705665989306
2264,Powiat m. Sopot,247,176174,0.0014020229999886476
2401,Powiat będziński,264,176174,0.0014985185101093238
2402,Powiat bielski,298,176174,0.001691509530350676
2403,Powiat cieszyński,354,176174,0.0020093770931011385
2404,Powiat częstochowski,127,176174,0.0007208782226662277
2405,Powiat gliwicki,397,176174,0.0022534539716416724
2406,Powiat kłobucki,95,176174,0.0005392396153802491
2407,Powiat lubliniecki,112,176174,0.0006357351255009252
2408,Powiat mikołowski,196,176174,0.0011125364696266192
2409,Powiat myszkowski,53,176174,0.0003008389433174021
2410,Powiat pszczyński,187,176174,0.0010614506113274377
2411,Powiat raciborski,796,176174,0.004518260356238719
2412,Powiat rybnicki,64,176174,0.0003632772145719573
2413,Powiat tarnogórski,375,176174,0.002128577429132562
2414,Powiat bieruńsko-lędziński,57,176174,0.00032354376922814947
2415,Powiat wodzisławski,243,176174,0.0013793181740779004
2416,Powiat zawierciański,138,176174,0.0007833164939207829
2417,Powiat żywiecki,175,176174,0.0009933361335951957
2461,Powiat m. Bielsko-Biała,949,176174,0.0053867199473248036
2462,Powiat m. Bytom,1451,176174,0.008236175599123595
2463,Powiat m. Chorzów,263,176174,0.0014928423036316368
2464,Powiat m. Częstochowa,781,176174,0.004433117259073416
2465,Powiat m. Dąbrowa Górnicza,205,176174,0.0011636223279258007
2466,Powiat m. Gliwice,2684,176174,0.015234938186111458
2467,Powiat m. Jastrzębie-Zdrój,270,176174,0.0015325757489754448
2468,Powiat m. Jaworzno,156,176174,0.0008854882105191459
2469,Powiat m. Katowice,1408,176174,0.00799209872058306
2470,Powiat m. Mysłowice,99,176174,0.0005619444412909964
2471,Powiat m. Piekary Śląskie,106,176174,0.0006016778866348042
2472,Powiat m. Ruda Śląska,178,176174,0.0010103647530282562
2473,Powiat m. Rybnik,289,176174,0.0016404236720514945
2474,Powiat m. Siemianowice Śląskie,128,176174,0.0007265544291439145
2475,Powiat m. Sosnowiec,463,176174,0.0026280835991690033
2476,Powiat m. Świętochłowice,71,176174,0.0004030106599157651
2477,Powiat m. Tychy,632,176174,0.003587362493898078
2478,Powiat m. Zabrze,920,176174,0.005222109959471886
2479,Powiat m. Żory,138,176174,0.0007833164939207829
2601,Powiat buski,107,176174,0.0006073540931124911
2602,Powiat jędrzejowski,77,176174,0.00043706789878188607
2603,Powiat kazimierski,37,176174,0.0002100196396744128
2604,Powiat kielecki,157,176174,0.0008911644169968326
2605,Powiat konecki,145,176174,0.0008230499392645907
2606,Powiat opatowski,61,176174,0.0003462485951388968
2607,Powiat ostrowiecki,132,176174,0.0007492592550546619
2608,Powiat pińczowski,47,176174,0.0002667817044512811
2609,Powiat sandomierski,151,176174,0.0008571071781307116
2610,Powiat skarżyski,111,176174,0.0006300589190232384
2611,Powiat starachowicki,88,176174,0.0004995061700364412
2612,Powiat staszowski,82,176174,0.00046544893117032025
2613,Powiat włoszczowski,38,176174,0.00021569584615209963
2661,Powiat m. Kielce,552,176174,0.0031332659756831316
2801,Powiat bartoszycki,132,176174,0.0007492592550546619
2802,Powiat braniewski,66,176174,0.00037462962752733096
2803,Powiat działdowski,46,176174,0.0002611054979735943
2804,Powiat elbląski,127,176174,0.0007208782226662277
2805,Powiat ełcki,98,176174,0.0005562682348133096
2806,Powiat giżycki,94,176174,0.0005335634089025622
2807,Powiat iławski,99,176174,0.0005619444412909964
2808,Powiat kętrzyński,126,176174,0.0007152020161885409
2809,Powiat lidzbarski,75,176174,0.00042571548582651244
2810,Powiat mrągowski,136,176174,0.0007719640809654092
2811,Powiat nidzicki,102,176174,0.0005789730607240568
2812,Powiat nowomiejski,23,176174,0.00013055274898679715
2813,Powiat olecki,52,176174,0.0002951627368397153
2814,Powiat olsztyński,267,176174,0.0015155471295423843
2815,Powiat ostródzki,215,176174,0.001220384392702669
2816,Powiat piski,66,176174,0.00037462962752733096
2817,Powiat szczycieński,123,176174,0.0006981733967554804
2818,Powiat gołdapski,16,176174,9.081930364298932e-05
2819,Powiat węgorzewski,38,176174,0.00021569584615209963
2861,Powiat m. Elbląg,313,176174,0.0017766526275159785
2862,Powiat m. Olsztyn,734,176174,0.004166335554622135
3001,Powiat chodzieski,86,176174,0.00048815375708106756
3002,Powiat czarnkowsko-trzcianecki,339,176174,0.0019242339959358362
3003,Powiat gnieźnieński,194,176174,0.0011011840566712454
3004,Powiat gostyński,52,176174,0.0002951627368397153
3005,Powiat grodziski,119,176174,0.0006754685708447331
3006,Powiat jarociński,87,176174,0.0004938299635587544
3007,Powiat kaliski,98,176174,0.0005562682348133096
3008,Powiat kępiński,701,176174,0.00397902074085847
3009,Powiat kolski,55,176174,0.0003121913562727758
3010,Powiat koniński,80,176174,0.00045409651821494656
3011,Powiat kościański,95,176174,0.0005392396153802491
3012,Powiat krotoszyński,135,176174,0.0007662878744877224
3013,Powiat leszczyński,107,176174,0.0006073540931124911
3014,Powiat międzychodzki,39,176174,0.00022137205262978647
3015,Powiat nowotomyski,229,176174,0.0012998512833902846
3016,Powiat obornicki,110,176174,0.0006243827125455516
3017,Powiat ostrowski,246,176174,0.0013963467935109608
3018,Powiat ostrzeszowski,120,176174,0.0006811447773224199
3019,Powiat pilski,479,176174,0.0027189029028119927
3020,Powiat pleszewski,124,176174,0.0007038496032331672
3021,Powiat poznański,1062,176174,0.006028131279303416
3022,Powiat rawicki,102,176174,0.0005789730607240568
3023,Powiat słupecki,48,176174,0.00027245791092896793
3024,Powiat szamotulski,204,176174,0.0011579461214481137
3025,Powiat średzki,173,176174,0.000981983720639822
3026,Powiat śremski,95,176174,0.0005392396153802491
3027,Powiat turecki,118,176174,0.0006697923643670462
3028,Powiat wągrowiecki,86,176174,0.00048815375708106756
3029,Powiat wolsztyński,137,176174,0.000777640287443096
3030,Powiat wrzesiński,106,176174,0.0006016778866348042
3031,Powiat złotowski,188,176174,0.0010671268178051245
3061,Powiat m. Kalisz,256,176174,0.001453108858287829
3062,Powiat m. Konin,140,176174,0.0007946689068761565
3063,Powiat m. Leszno,304,176174,0.001725566769216797
3064,Powiat m. Poznań,2503,176174,0.014207544813650141
3201,Powiat białogardzki,246,176174,0.0013963467935109608
3202,Powiat choszczeński,203,176174,0.001152269914970427
3203,Powiat drawski,298,176174,0.001691509530350676
3204,Powiat goleniowski,557,176174,0.0031616470080715656
3205,Powiat gryficki,291,176174,0.0016517760850068683
3206,Powiat gryfiński,740,176174,0.004200392793488256
3207,Powiat kamieński,230,176174,0.0013055274898679714
3208,Powiat kołobrzeski,491,176174,0.0027870173805442347
3209,Powiat koszaliński,194,176174,0.0011011840566712454
3210,Powiat myśliborski,747,176174,0.004240126238832064
3211,Powiat policki,420,176174,0.0023840067206284694
3212,Powiat pyrzycki,208,176174,0.0011806509473588612
3213,Powiat sławieński,177,176174,0.0010046885465505692
3214,Powiat stargardzki,712,176174,0.004041459012113025
3215,Powiat szczecinecki,348,176174,0.0019753198542350175
3216,Powiat świdwiński,202,176174,0.0011465937084927402
3217,Powiat wałecki,224,176174,0.0012714702510018504
3218,Powiat łobeski,187,176174,0.0010614506113274377
3261,Powiat m. Koszalin,748,176174,0.004245802445309751
3262,Powiat m. Szczecin,3617,176174,0.02053083882979327
3263,Powiat m. Świnoujście,284,176174,0.0016120426396630603
