,county_code,county_kts,county_name,type,year,wage,NC_population,YR_population
132,1217.0,10011216917000.0,Powiat tatrzański,grand total,2002,1765.52,57356,57847.0
133,1218.0,10011212318000.0,Powiat wadowicki,grand total,2002,1702.23,134934,133839.0
134,1219.0,10011212019000.0,Powiat wielicki,grand total,2002,2070.61,115556,91314.0
135,1261.0,10011212161000.0,Powiat m. Kraków,grand total,2002,2300.64,702053,726664.0
136,1262.0,10011212262000.0,Powiat m. Nowy Sącz,grand total,2002,1937.46,70031,74302.0
137,1263.0,10011212463000.0,Powiat m. Tarnów,grand total,2002,1842.41,94241,109281.0
138,1401.0,10071422701000.0,Powiat białobrzeski,grand total,2002,1808.58,27916,29855.0
139,1402.0,10071422502000.0,Powiat ciechanowski,grand total,2002,2003.01,74840,81525.0
140,1403.0,10071427103000.0,Powiat garwoliński,grand total,2002,1853.93,89043,93866.0
141,1404.0,10071427004000.0,Powiat gostyniński,grand total,2002,1675.57,38010,42952.0
142,1405.0,10071413005000.0,Powiat grodziski,grand total,2002,2533.65,85264,68993.0
143,1406.0,10071427306000.0,Powiat grójecki,grand total,2002,2280.93,83976,97900.0
144,1407.0,10071422707000.0,Powiat kozienicki,grand total,2002,2609.25,50586,56573.0
145,1408.0,10071412908000.0,Powiat legionowski,grand total,2002,2227.5,106979,82842.0
146,1409.0,10071422709000.0,Powiat lipski,grand total,2002,1701.07,28380,36589.0
147,1410.0,10071427110000.0,Powiat łosicki,grand total,2002,1792.75,25526,30651.0
148,1411.0,10071422611000.0,Powiat makowski,grand total,2002,1795.02,36903,42363.0
149,1412.0,10071412912000.0,Powiat miński,grand total,2002,1945.63,133261,125472.0
150,1413.0,10071422513000.0,Powiat mławski,grand total,2002,1641.24,60437,65525.0
151,1414.0,10071413014000.0,Powiat nowodworski,grand total,2002,2240.62,68568,67388.0
152,1415.0,10071422615000.0,Powiat ostrołęcki,grand total,2002,1916.6,73809,72137.0
153,1416.0,10071422616000.0,Powiat ostrowski,grand total,2002,1771.03,60525,68845.0
154,1417.0,10071412917000.0,Powiat otwocki,grand total,2002,2012.74,107544,104373.0
155,1418.0,10071413018000.0,Powiat piaseczyński,grand total,2002,2503.34,172906,111581.0
156,1419.0,10071427019000.0,Powiat płocki,grand total,2002,1780.09,94614,93729.0
157,1420.0,10071422520000.0,Powiat płoński,grand total,2002,1952.97,73645,79394.0
158,1421.0,10071413021000.0,Powiat pruszkowski,grand total,2002,2661.56,148946,131564.0
159,1422.0,10071422622000.0,Powiat przasnyski,grand total,2002,1847.04,42802,47255.0
160,1423.0,10071422723000.0,Powiat przysuski,grand total,2002,1756.41,34462,40879.0
161,1424.0,10071422524000.0,Powiat pułtuski,grand total,2002,1758.13,43456,45605.0
162,1425.0,10071422725000.0,Powiat radomski,grand total,2002,1635.89,128392,124165.0
163,1426.0,10071427126000.0,Powiat siedlecki,grand total,2002,1779.92,68160,72577.0
164,1427.0,10071427027000.0,Powiat sierpecki,grand total,2002,1992.31,42831,48279.0
165,1428.0,10071427328000.0,Powiat sochaczewski,grand total,2002,2404.97,71942,75552.0
166,1429.0,10071427129000.0,Powiat sokołowski,grand total,2002,1851.31,44773,54383.0
167,1430.0,10071422730000.0,Powiat szydłowiecki,grand total,2002,1763.78,33025,36758.0
168,1432.0,10071413032000.0,Powiat warszawski zachodni,grand total,2002,2474.61,109101,87557.0
169,1433.0,10071427133000.0,Powiat węgrowski,grand total,2002,1784.71,54110,62674.0
170,1434.0,10071412934000.0,Powiat wołomiński,grand total,2002,2056.69,222058,172026.0
171,1435.0,10071422635000.0,Powiat wyszkowski,grand total,2002,1753.81,62377,61970.0
172,1436.0,10071422736000.0,Powiat zwoleński,grand total,2002,1806.89,30116,34133.0
173,1437.0,10071422537000.0,Powiat żuromiński,grand total,2002,1632.54,31723,36411.0
174,1438.0,10071427338000.0,Powiat żyrardowski,grand total,2002,2097.62,65239,68966.0
175,1461.0,10071422661000.0,Powiat m. Ostrołęka,grand total,2002,2237.11,43126,46775.0
176,1462.0,10071427062000.0,Powiat m. Płock,grand total,2002,2742.56,100722,115908.0
177,1463.0,10071422763000.0,Powiat m. Radom,grand total,2002,2069.0,176775,208075.0
178,1464.0,10071427164000.0,Powiat m. Siedlce,grand total,2002,2111.64,65025,68185.0
179,1465.0,10071412865000.0,Powiat m. st. Warszawa,grand total,2002,3238.19,1608993,1676817.0
180,1601.0,10031613101000.0,Powiat brzeski,grand total,2002,1812.89,76537,83515.0
181,1602.0,10031613102000.0,Powiat głubczycki,grand total,2002,1786.49,38919,47316.0
182,1603.0,10031613203000.0,Powiat kędzierzyńsko-kozielski,grand total,2002,2140.54,78943,94370.0
183,1604.0,10031613204000.0,Powiat kluczborski,grand total,2002,1822.92,55467,63728.0
184,1605.0,10031613205000.0,Powiat krapkowicki,grand total,2002,2483.63,53313,62004.0
185,1606.0,10031613106000.0,Powiat namysłowski,grand total,2002,1912.57,36592,39798.0
186,1607.0,10031613107000.0,Powiat nyski,grand total,2002,1720.63,116471,134684.0
187,1608.0,10031613208000.0,Powiat oleski,grand total,2002,1846.33,54562,63176.0
188,1609.0,10031613209000.0,Powiat opolski,grand total,2002,2032.28,105701,123353.0
189,1610.0,10031613110000.0,Powiat prudnicki,grand total,2002,1712.22,46526,56397.0
190,1611.0,10031613211000.0,Powiat strzelecki,grand total,2002,1840.68,63133,74255.0
191,1661.0,10031613261000.0,Powiat m. Opole,grand total,2002,2276.22,112033,121557.0
192,1801.0,10061813301000.0,Powiat bieszczadzki,grand total,2002,1736.13,18363,19232.0
193,1802.0,10061813302000.0,Powiat brzozowski,grand total,2002,1651.43,55072,57260.0
194,1803.0,10061813603000.0,Powiat dębicki,grand total,2002,1849.58,114327,113762.0
195,1804.0,10061813404000.0,Powiat jarosławski,grand total,2002,1774.22,101790,107356.0
196,1805.0,10061813305000.0,Powiat jasielski,grand total,2002,1796.53,96522,109326.0
197,1806.0,10061813506000.0,Powiat kolbuszowski,grand total,2002,1742.39,53247,53069.0
198,1807.0,10061813307000.0,Powiat krośnieński,grand total,2002,1802.43,94676,96450.0
199,1808.0,10061813608000.0,Powiat leżajski,grand total,2002,1931.82,58700,59847.0
200,1809.0,10061813409000.0,Powiat lubaczowski,grand total,2002,1709.4,46969,51079.0
201,1810.0,10061813510000.0,Powiat łańcucki,grand total,2002,1688.74,68608,68638.0
202,1811.0,10061813611000.0,Powiat mielecki,grand total,2002,1850.06,115188,116007.0
203,1812.0,10061813612000.0,Powiat niżański,grand total,2002,1613.55,56678,58457.0
204,1813.0,10061813413000.0,Powiat przemyski,grand total,2002,1659.36,61906,61813.0
205,1814.0,10061813414000.0,Powiat przeworski,grand total,2002,1812.22,66100,69823.0
206,1815.0,10061813515000.0,Powiat ropczycko-sędziszowski,grand total,2002,1811.48,62585,60684.0
207,1816.0,10061813516000.0,Powiat rzeszowski,grand total,2002,1688.71,145699,148979.0
208,1817.0,10061813317000.0,Powiat sanocki,grand total,2002,1809.52,79551,83401.0
209,1818.0,10061813618000.0,Powiat stalowowolski,grand total,2002,1947.06,90549,98381.0
210,1819.0,10061813519000.0,Powiat strzyżowski,grand total,2002,1641.26,52142,54775.0
211,1820.0,10061813620000.0,Powiat tarnobrzeski,grand total,2002,1929.52,45261,47305.0
212,1821.0,10061813321000.0,Powiat leski,grand total,2002,1868.64,22650,23233.0
213,1861.0,10061813361000.0,Powiat m. Krosno,grand total,2002,1826.48,39545,43801.0
214,1862.0,10061813462000.0,Powiat m. Przemyśl,grand total,2002,1882.89,51723,61574.0
215,1863.0,10061813563000.0,Powiat m. Rzeszów,grand total,2002,2102.03,167258,146381.0
